	-----------------------------------------------------------------	
	Trajectory	0

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	16	71.5921	0	-0.00455473	2.82082	0.0788551	(112.249,17.9801,45.4233)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	25	62.9144	0	-0.00452862	3.14586	0.108392	(86.0838,35.3657,38.1089)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
1.29486	4.12236	0	0.939693	0	0.34202	10	Al
1.8009	4.12236	0.184185	0.925968	0.0799221	0.195727	9.99764	Al
5.69191	4.4582	1.00665	0.925968	0.0799221	0.195727	9.97926	Al
14.3288	5.20366	2.83228	0.925968	0.0799221	0.195727	9.9384	Al
16.7811	5.41533	3.35064	0.925968	0.0799221	0.195727	9.92676	Al
24.4526	6.07747	4.97221	0.898175	0.183767	0.290029	9.89031	Al
29.0457	7.01722	6.45536	0.855736	0.150895	0.448205	9.86776	Al
39.2412	8.81503	11.7954	0.855736	0.150895	0.448205	9.81511	Al
48.3977	10.4296	16.5913	0.855736	0.150895	0.448205	9.76763	Al
59.1545	12.3264	22.2253	0.855736	0.150895	0.448205	9.71164	Al
62.7419	12.959	24.1043	0.766058	0.277408	0.622308	9.69289	Al
86.0541	21.4009	43.042	0.766058	0.277408	0.622308	9.55655	Al
91.1421	23.2434	47.1752	0.766058	0.277408	0.622308	9.52646	Al
102.332	27.2955	56.2652	0.766058	0.277408	0.622308	9.46015	Al
104.37	28.0335	57.9208	0.544312	0.734643	0.344527	9.448	Al
104.432	28.1171	57.96	0.544312	0.734643	0.344527	9.44748	Al
104.694	28.4712	58.1261	0.587114	0.787076	0.186294	9.44528	Al
111.452	37.5302	60.2702	0.624791	0.698785	0.277002	9.39268	Al
117.416	44.2004	62.9144	0.673968	0.789424	-0.094913	9.34887	Al
121.353	48.8129	62.3598	0.673968	0.789424	-0.094913	9.32196	Al
136.979	67.1153	60.1593	0.673968	0.789424	-0.094913	9.21493	Al
147.218	79.1086	58.7174	0.517236	0.874045	-0.0047464	9.14418	Al
147.747	80.0025	58.7125	0.517236	0.874045	-0.0047464	9.13938	Al
149.334	82.6837	58.6979	0.517236	0.874045	-0.0047464	9.12501	Al
162.761	105.373	58.5747	0.613699	0.82508	-0.394244	9.0032	Al
163.175	105.929	58.3089	0.613699	0.82508	-0.394244	9	Al
-----------------------------------------------------------------	-----------------------------------------------------------------	
	Trajectory	4

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	21	70.5555	0	-0.00455379	3.18011	0.114395	(103.281,0.695468,36.1351)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
-1.6543	-3.56011	0	0.939693	0	0.34202	10	Al
22.2996	-3.56011	8.7185	0.939693	0	0.34202	9.8885	Al
27.6472	-3.56011	10.6649	0.939693	0	0.34202	9.86339	Al
28.3157	-3.56011	10.9082	0.939693	0	0.34202	9.86025	Al
44.7205	-3.56011	16.8791	0.929009	-0.0976382	0.445589	9.78306	Al
53.5865	-4.49191	21.1315	0.833766	0.078187	0.0709042	9.7406	Al
55.4073	-4.32116	21.2864	0.833766	0.078187	0.0709042	9.73086	Al
66.2398	-3.30534	22.2076	0.833766	0.078187	0.0709042	9.67282	Al
66.4718	-3.28359	22.2273	0.792622	0.0686914	0.265787	9.67157	Al
81.5675	-1.97534	27.2893	0.792622	0.0686914	0.265787	9.5861	Al
113.004	0.749063	37.8308	0.792622	0.0686914	0.265787	9.40689	Al
118.916	1.2614	39.8132	0.792622	0.0686914	0.265787	9.3727	Al
119.584	1.31928	40.0371	0.792622	0.0686914	0.265787	9.36883	Al
121.661	1.49927	40.7336	0.792622	0.0686914	0.265787	9.35678	Al
137.666	2.8864	46.1008	0.792622	0.0686914	0.265787	9.26382	Al
138.886	2.99212	46.5098	0.792622	0.0686914	0.265787	9.25668	Al
145.779	3.58946	48.8211	0.792622	0.0686914	0.265787	9.21632	Al
146.824	3.68004	49.1716	0.792622	0.0686914	0.265787	9.21018	Al
169.22	5.62098	56.6817	0.757419	0.200984	0.365308	9.07854	Al
169.336	5.65167	56.7375	0.082965	0.243185	0.837244	9.07782	Al
170.108	7.91545	64.5313	0.21596	0.159005	0.838763	9.03396	Al
171.659	9.05748	70.5555	0.21596	0.159005	0.838763	9	Al
-----------------------------------------------------------------	-----------------------------------------------------------------	
	Trajectory	5

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	18	75.4793	0	-0.0045157	3.29801	0	(97.2824,-1.46051,34.7549)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
1.79416	-1.46051	0	0.939693	0	0.34202	10	Al
3.60365	-1.46051	0.658603	0.939693	0	0.34202	9.99158	Al
4.03989	-1.46051	0.817381	0.939693	0	0.34202	9.98955	Al
39.6075	-1.46051	13.7629	0.939693	0	0.34202	9.82385	Al
44.5345	-1.46051	15.5562	0.939693	0	0.34202	9.8006	Al
44.8832	-1.46051	15.6831	0.939693	0	0.34202	9.79896	Al
50.5571	-1.46051	17.7482	0.939693	0	0.34202	9.77213	Al
62.729	-1.46051	22.1785	0.939693	0	0.34202	9.71446	Al
63.7727	-1.46051	22.5583	0.939693	0	0.34202	9.70949	Al
73.1388	-1.46051	25.9673	0.939693	0	0.34202	9.66489	Al
86.6582	-1.46051	30.888	0.939693	0	0.34202	9.60029	Al
110.04	-1.46051	39.3982	0.939693	0	0.34202	9.48799	Al
118.824	-1.46051	42.5954	0.939693	0	0.34202	9.44542	Al
142.046	-1.46051	51.0475	0.939693	0	0.34202	9.33248	Al
154.313	-1.46051	55.5124	0.939693	0	0.34202	9.27227	Al
156.592	-1.46051	56.3416	0.939693	0	0.34202	9.26103	Al
190.787	-1.46051	68.7876	0.939693	0	0.34202	9.0922	Al
195.785	-1.46051	70.6069	0.939693	0	0.34202	9.06717	Al
209.172	-1.46051	75.4793	0.939693	0	0.34202	9	Al
-----------------------------------------------------------------	-----------------------------------------------------------------	
	Trajectory	6

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	21	133.568	0	-0.00453706	3.58965	0.134746	(58.2265,51.8334,64.4256)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
0.0681422	-1.74724	0	0.939693	0	0.34202	10	Al
4.19387	-1.74724	1.50164	0.924189	-0.159013	0.255318	9.9808	Al
5.51544	-1.97462	1.86674	0.884193	-0.168611	0.0949839	9.97453	Al
7.65822	-2.38324	2.09693	0.884193	-0.168611	0.0949839	9.96391	Al
21.4753	-5.01808	3.58122	0.508433	0.653057	0.604295	9.89537	Al
32.4981	9.14018	16.6823	0.467953	0.507648	0.753495	9.79977	Al
34.2523	11.0432	19.5069	0.467953	0.507648	0.753495	9.78311	Al
38.6097	15.7702	26.5232	0.316569	0.643597	0.725459	9.74169	Al
40.7631	20.1482	31.4581	0.316569	0.643597	0.725459	9.71133	Al
44.9655	28.6918	41.0883	0.316569	0.643597	0.725459	9.65195	Al
55.8198	50.7589	65.9623	0.316569	0.643597	0.725459	9.49783	Al
57.2484	53.6634	69.2361	0.316569	0.643597	0.725459	9.4773	Al
61.0319	61.3554	77.9065	0.581549	0.5879	0.589929	9.42282	Al
71.9261	72.3685	88.9577	0.581549	0.5879	0.589929	9.33705	Al
74.2966	74.765	91.3624	0.581549	0.5879	0.589929	9.31826	Al
82.3362	82.8924	99.5178	0.581549	0.5879	0.589929	9.25442	Al
90.1154	90.7565	107.409	0.581549	0.5879	0.589929	9.19232	Al
96.2132	96.9209	113.595	0.581549	0.5879	0.589929	9.1434	Al
97.7297	98.4539	115.133	0.250178	0.726876	0.661407	9.13118	Al
99.8423	104.592	120.718	0.250178	0.726876	0.661407	9.09158	Al
101.563	109.591	125.267	0.250178	0.726876	0.661407	9.05921	Al
104.703	118.713	133.568	0.250178	0.726876	0.661407	9	Al
