[0. 0. 0.]
[ 371.14570522  711.24264438 1489.54910385]
[ 358.89469576  748.3330179  1508.97581894]
[ 356.60669754  755.06409271 1511.56184893]
[ 351.09501388  771.75128392 1517.82049427]
[ 272.86147317 1034.16634274 1616.67013913]
[ 256.6271286  1094.00265357 1637.02660677]
[ 224.37928678 1217.42041851 1678.55451243]
[ 210.86874926 1276.08669321 1696.77617316]
[ 210.49691048 1277.72457543 1697.26114119]
[ 188.38727379 1376.5398148  1725.67557306]
[ 167.14617641 1476.79038911 1752.58012598]
[ 136.52932551 1620.03250201 1790.40107242]
[ 133.92345358 1632.68384044 1793.70982508]
[ 122.9467805  1690.04807846 1807.26215428]
[ 139.88479968 1778.56638966 1786.34966011]
[ 163.58569905 1910.64706138 1755.05360651]
[ 151.56714829 1977.62419304 1770.9236038 ]
[ 120.58443613 2148.49866594 1811.15137503]
[ 114.5227366  2183.82650297 1818.92126502]
[ 121.85166868 2226.53982398 1809.52703561]
[ 164.10419436 2533.82822046 1746.41810349]
[ 151.23186676 2627.44432604 1765.64438252]
[ 174.2726504  2795.01218956 1731.23036284]
[ 175.61299926 2804.91899669 1729.2499741 ]
[ 184.62653018 2870.93993848 1717.06986243]
[ 163.85030432 3023.11848097 1745.14506994]
[ 146.49417441 3155.68958201 1769.392599  ]
[ 132.04570835 3289.30246491 1792.19778952]
[ 124.63038065 3357.78857588 1802.60342508]
[ 133.88311248 3443.24449168 1789.61943309]
[ 119.24051425 3578.47986479 1810.16681105]
[ 118.65234984 3583.71305547 1810.94044427]
[ 144.49801769 3813.67478942 1776.94473354]
[ 148.12478185 3859.25183696 1770.68561004]
[ 150.66422424 3889.78103965 1766.65428915]
[ 155.48840382 3946.95221689 1759.30237879]
[ 153.83006423 3966.60513914 1761.82964042]
[ 151.69551912 3991.53546156 1764.92335336]
[ 134.68386135 4214.14973221 1790.71155026]
[ 125.28300442 4371.65104888 1808.24296462]
[ 120.948106   4458.04192887 1817.84406633]
[ 113.79480836 4668.52204231 1839.71020885]
[ 116.30631897 4742.42125121 1832.0330435 ]
[ 124.97060687 5008.90564064 1806.29568019]
[ 122.31632148 5090.54254264 1814.18026439]
[ 125.93243248 5201.76196924 1803.43856655]
[ 122.93901358 5293.82947864 1812.33055059]
[ 122.15357601 5317.98939865 1814.51886173]
[ 127.83134312 5492.63650585 1798.70000931]
[ 130.99791537 5613.05530272 1788.80967284]
[ 129.33087108 5676.44986677 1794.01644774]
[ 129.30085153 5677.52286946 1794.09926251]
[ 127.93145764 5724.20345355 1797.63859057]
[ 112.73296473 6235.9763964  1835.62569924]
[ 112.52863252 6243.16352767 1836.16129572]
[ 110.1450199  6339.61153358 1843.01411677]
[ 109.62966765 6370.45850906 1845.17409695]
[ 107.99093293 6470.77565978 1851.97459392]
[ 108.53182133 6503.88680503 1849.72999026]
[ 108.67790597 6510.80096793 1849.28045513]
[ 106.08030083 6633.74521123 1857.27386767]
[ 111.8462981  6906.64895626 1839.53060326]
[ 120.74582002 7376.36020791 1810.95027384]
[ 120.74530532 7378.60245967 1810.82249321]
[ 120.76150509 7449.17521866 1814.84426812]
[ 120.79246058 7461.67160845 1815.5386666 ]
[ 120.59118555 7542.92411889 1811.02363305]
[ 120.49842681 7567.19194601 1809.77599041]
[ 120.08684159 7769.11324713 1799.8904483 ]
[ 120.23943099 7843.97271538 1803.5553733 ]
[ 120.23608541 7845.61403808 1803.47501841]
[ 120.09794841 7901.79507834 1800.85349848]
[ 120.2909982  7980.30943503 1804.51713571]
[ 120.41340987 8049.90726807 1807.70619596]
[ 120.26383061 8105.57403392 1810.26790969]
[ 120.27274278 8108.89074793 1810.11527873]
[ 120.16246957 8194.78729633 1806.53108269]
[ 120.20313648 8226.4645021  1807.85287405]
[ 120.33497891 8440.59054565 1816.49370758]
[ 120.34524625 8452.47790197 1816.93211953]
[ 120.425504   8504.41028397 1818.83388078]
[ 120.42701783 8518.07792894 1819.31785693]
